335;0000000101001111;0000000101001111001111111010010
336;0000000101010000;0000000101010000011100110111000
337;0000000101010001;0000000101010001011011000010111
338;0000000101010010;0000000101010010010011011100110
339;0000000101010011;0000000101010011010100101001001
340;0000000101010100;0000000101010100000011100000100
341;0000000101010101;0000000101010101000100010101011
342;0000000101010110;0000000101010110001100001011010
343;0000000101010111;0000000101010111001011111110101
344;0000000101011000;0000000101011000100010011000000
345;0000000101011001;0000000101011001100101101101111
346;0000000101011010;0000000101011010101101110011110
347;0000000101011011;0000000101011011101010000110001
348;0000000101011100;0000000101011100111101001111100
349;0000000101011101;0000000101011101111010111010011
350;0000000101011110;0000000101011110110010100100010
351;0000000101011111;0000000101011111110101010001101
352;0000000101100000;0000000101100000010100111110110
353;0000000101100001;0000000101100001010011001011001
354;0000000101100010;0000000101100010011011010101000
355;0000000101100011;0000000101100011011100100000111
356;0000000101100100;0000000101100100001011101001010
357;0000000101100101;0000000101100101001100011100101
358;0000000101100110;0000000101100110000100000010100
359;0000000101100111;0000000101100111000011110111011
360;0000000101101000;0000000101101000101010010001110
361;0000000101101001;0000000101101001101101100100001
362;0000000101101010;0000000101101010100101111010000
363;0000000101101011;0000000101101011100010001111111
364;0000000101101100;0000000101101100110101000110010
365;0000000101101101;0000000101101101110010110011101
366;0000000101101110;0000000101101110111010101101100
367;0000000101101111;0000000101101111111101011000011
368;0000000101110000;0000000101110000101110010101001
369;0000000101110001;0000000101110001101001100000110
370;0000000101110010;0000000101110010100001111110111
371;0000000101110011;0000000101110011100110001011000
372;0000000101110100;0000000101110100110001000010101
373;0000000101110101;0000000101110101110110110111010
374;0000000101110110;0000000101110110111110101001011
375;0000000101110111;0000000101110111111001011100100
376;0000000101111000;0000000101111000010000111010001
377;0000000101111001;0000000101111001010111001111110
378;0000000101111010;0000000101111010011111010001111
379;0000000101111011;0000000101111011011000100100000
380;0000000101111100;0000000101111100001111101101101
381;0000000101111101;0000000101111101001000011000010
382;0000000101111110;0000000101111110000000000110011
383;0000000101111111;0000000101111111000111110011100
